period,portfolio_return,trades,BTC_weight,BTC_return,BTC_contribution,ETH_weight,ETH_return,ETH_contribution,LINK_weight,LINK_return,LINK_contribution,DOGE_weight,DOGE_return,DOGE_contribution,SOL_weight,SOL_return,SOL_contribution
2024-02,-0.22,2,0.8083,42.071465997690474,34.00636596593321,0.0051,45.05963355349344,0.22980413112281656,0.0003,12.240687434832614,0.0036722062304497837,,,,,,
2024-03,-18.48,2,,,,0.4537,6.195026134008284,2.8106833569995584,-0.2212,-4.601883702062783,1.0179366748962877,362.8732,57.68753486194882,20933.260375466925,-0.0024,56.06854566312609,-0.1345645095915026
2024-04,185.05,9,0.0006,-13.005758318739055,-0.007803454991243432,-0.0078,-14.058172396353092,0.1096537446915541,,,,,,,-0.0827,-34.06857697526768,2.817471315854637
2024-09,-3.45,2,,,,0.0026,7.214474702474326,0.018757634226433246,-0.5939,14.251035835151976,-8.463690182496759,,,,0.0415,18.593375468231407,0.7716250819316034
2024-10,1.84,2,,,,-60.742,2.730923943011018,-165.88178214637523,-0.0047,3.59941375141143,-0.016917244631633722,1.5523,50.754377998350094,78.78602096683885,,,
2024-12,13.55,2,,,,0.4537,-10.202545475501108,-4.628894882234852,-0.2212,5.886554663850712,-1.3021058916437775,362.8732,-28.258066762110403,-10254.09511178064,-0.0024,-20.165126058668505,0.04839630254080441
2025-01,24.99,10,0.0003,8.457197741236792,0.002537159322371037,-0.1078,-1.6472027823624618,0.1775684599386734,0.0042,16.025460008706563,0.06730693203656757,,,,-0.7522,19.47874770309945,-14.651914022271406
2025-02,-0.28,2,0.5508,-16.176793835682147,-8.910178044693726,41.8656,-28.23382167273666,-1182.0258846221238,-0.0003,-35.714224239198806,0.01071426727175964,-0.007,-34.50351144282685,0.24152458009978794,,,
2025-03,-3.54,2,0.5508,-4.048497627833421,-2.229912493410648,41.8656,-17.736878468783797,-742.5650592227149,-0.0003,-8.630372484706607,0.002589111745411982,-0.007,-19.280806131800944,0.1349656429226066,,,
2025-05,-7.36,6,,,,0.4537,37.50857757563051,17.017641646063563,-0.2212,-5.255201237339333,1.1624505136994605,362.8732,6.539095444379145,2372.8624890072824,-0.0024,3.8399001727918667,-0.009215760414700479
2025-06,-4.1,2,0.0057,1.4038853492399028,0.008002146490667446,-44.217,-1.9635951014131237,86.82428459918408,,,,-0.0001,-14.716581512193262,0.0014716581512193262,,,
2025-07,0.89,10,0.0003,9.517583215195375,0.002855274964558612,-0.1078,53.658614304443205,-5.784398622018978,0.0042,31.47803577557261,0.13220775025740494,,,,-0.7522,17.354042752589475,-13.053710958497803
2025-09,-2.97,2,0.0024,4.398595945845832,0.010556630270029996,-15.4898,-3.9057563714946806,60.49938504317831,0.1399,-5.124272847269054,-0.7168857713329407,-0.0002,10.773161013747277,-0.0021546322027494553,-0.9095,5.902734017810611,-5.368536589198751
2025-10,-1.93,2,0.0024,-7.663588410741432,-0.018392612185779436,-15.4898,-11.583980075137935,179.4335345678716,0.1399,-23.656867491534367,-3.309595762065658,-0.0002,-24.935879679085502,0.004987175935817101,-0.9095,-15.548106210528138,14.14100259847534
2025-11,-7.9,2,0.0024,-17.871147998103947,-0.04289075519544947,-15.4898,-22.76800821543123,352.67189365538667,0.1399,-24.181021513359973,-3.38292490971906,-0.0002,-21.68506028899095,0.00433701205779819,-0.9095,-28.337384358705727,25.77285107424286
