Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-12-01,2655.130859375,2658.734619140625,2650.436767578125,2651.10791015625,2651.10791015625,4712773,0.0,0.0
2024-12-02,2651.10791015625,2655.72998046875,2628.800048828125,2644.556640625,2644.556640625,6052246,0.0,0.0
2024-12-03,2644.56591796875,2656.6435546875,2640.565185546875,2645.96728515625,2645.96728515625,6246597,0.0,0.0
2024-12-04,2645.96728515625,2660.078857421875,2641.345703125,2653.6064453125,2653.6064453125,6730196,0.0,0.0
2024-12-05,2653.6064453125,2657.156982421875,2626.93994140625,2635.657470703125,2635.657470703125,11878486,0.0,0.0
2024-12-06,2634.430419921875,2648.643310546875,2622.37451171875,2634.9560546875,2634.9560546875,6951445,0.0,0.0
2024-12-07,2634.9560546875,2642.70654296875,2633.9716796875,2637.73876953125,2637.73876953125,5686674,0.0,0.0
2024-12-08,2638.75927734375,2640.83837890625,2634.834716796875,2639.57568359375,2639.57568359375,4293517,0.0,0.0
2024-12-09,2644.507080078125,2678.803955078125,2635.746337890625,2665.267333984375,2665.267333984375,7340956,0.0,0.0
2024-12-10,2664.203857421875,2708.687255859375,2660.9306640625,2700.2578125,2700.2578125,10416901,0.0,0.0
2024-12-11,2700.372314453125,2725.294189453125,2688.439208984375,2722.84423828125,2722.84423828125,6513867,0.0,0.0
2024-12-12,2722.84423828125,2728.0791015625,2696.934814453125,2703.779052734375,2703.779052734375,6370580,0.0,0.0
2024-12-13,2703.779052734375,2704.18701171875,2656.783935546875,2660.0615234375,2660.0615234375,5174686,0.0,0.0
2024-12-14,2660.0615234375,2668.607666015625,2654.050048828125,2667.371826171875,2667.371826171875,4778314,0.0,0.0
2024-12-15,2667.371826171875,2672.169921875,2653.14013671875,2659.33984375,2659.33984375,5192164,0.0,0.0
2024-12-16,2659.33984375,2676.483154296875,2656.287109375,2660.567138671875,2660.567138671875,5780635,0.0,0.0
2024-12-17,2660.567138671875,2670.230712890625,2650.9892578125,2657.071533203125,2657.071533203125,5249698,0.0,0.0
