Date,Open,High,Low,Close,Volume
2024-12-01,12.782,13.341,12.6,13.06,5523865.94
2024-12-02,13.061,14.66,12.42,14.007,14220004.12
2024-12-03,14.007,15.338,13.14,15.119,11455581.67
2024-12-04,15.117,16.52,14.641,15.674,10745492.23
2024-12-05,15.672,15.939,14.5,15.025,9184348.72
2024-12-06,15.025,18.439,15.01,17.56,13045476.79
2024-12-07,17.559,18.628,17.215,18.061,9092825.72
2024-12-08,18.064,19.47,17.519,18.601,10531577.74
2024-12-09,18.602,18.855,14.0,16.025,12792426.09
2024-12-10,16.024,16.69,14.039,15.254,15151148.18
2024-12-11,15.254,17.224,14.718,17.159,8522248.63
2024-12-12,17.161,18.984,16.888,17.715,10043176.68
2024-12-13,17.716,18.175,16.83,17.49,4869326.39
2024-12-14,17.49,17.775,16.454,16.75,5733733.27
2024-12-15,16.751,17.224,16.211,17.073,4524262.03
2024-12-16,17.074,17.476,16.228,16.233,5789646.15
2024-12-17,16.234,16.575,15.595,16.242,5407343.6
2024-12-18,16.252,16.74,14.62,14.807,9742088.58
2024-12-19,14.799,15.407,12.634,12.726,14815514.28
2024-12-20,12.725,13.838,11.217,13.677,20494533.69
2024-12-21,13.68,14.785,13.036,13.384,8210582.98
2024-12-22,13.391,14.292,13.24,13.9,8677806.33
2024-12-23,13.9,14.638,13.235,14.291,7365516.96
2024-12-24,14.29,14.77,13.748,14.592,4779628.37
2024-12-25,14.589,14.598,13.669,13.911,3280404.69
2024-12-26,13.91,14.085,12.818,13.266,3962448.67
2024-12-27,13.267,14.266,13.169,13.353,5520078.72
2024-12-28,13.354,13.799,12.95,13.575,2116213.79
2024-12-29,13.575,13.601,12.846,13.006,1566467.32
2024-12-30,13.009,13.65,12.751,13.325,4008343.82
2024-12-31,13.326,13.907,13.123,13.243,4530105.07
2025-01-01,13.243,13.793,13.044,13.629,2460321.15
2025-01-02,13.629,14.598,13.625,14.381,3990570.27
2025-01-03,14.381,15.257,14.05,15.213,3694086.81
2025-01-04,15.21,15.44,14.759,15.277,3747914.48
2025-01-05,15.279,15.372,14.811,15.159,2097426.17
2025-01-06,15.163,15.654,14.82,15.077,5913365.93
2025-01-07,15.076,15.134,13.482,13.531,3212531.8
2025-01-08,13.532,13.835,12.494,13.118,4342567.58
2025-01-09,13.117,13.362,12.367,12.867,3545904.26
2025-01-10,12.869,14.098,12.853,13.941,4896955.05
2025-01-11,13.942,14.059,13.458,13.645,1519898.78
2025-01-12,13.648,13.889,13.512,13.631,1417813.35
2025-01-13,13.632,13.948,12.022,12.893,4325039.75
2025-01-14,12.893,13.429,12.821,13.314,1700114.03
2025-01-15,13.314,14.68,12.965,14.542,3983090.48
2025-01-16,14.544,14.629,13.933,14.097,3175478.9
2025-01-17,14.098,15.174,14.086,14.98,3787760.81
2025-01-18,14.98,15.25,13.88,14.171,5084934.47
2025-01-19,14.171,14.594,13.015,13.287,7333157.45
2025-01-20,13.292,14.844,12.903,13.524,7250504.03
2025-01-21,13.523,13.862,12.986,13.507,4282750.12
2025-01-22,13.506,13.621,12.762,12.89,2627012.96
2025-01-23,12.894,13.057,12.388,12.81,3245994.23
2025-01-24,12.811,13.16,12.425,12.464,2300973.4
