Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-12-01,7.0057878494262695,7.160616874694824,6.79588508605957,6.91849422454834,6.91849422454834,537937794,0.0,0.0
2024-12-02,6.918482780456543,7.46895694732666,6.469758033752441,7.426878929138184,7.426878929138184,1076587058,0.0,0.0
2024-12-03,7.427114963531494,7.582302093505859,6.859975814819336,7.392641067504883,7.392641067504883,1323102372,0.0,0.0
2024-12-04,7.392629146575928,7.700695037841797,7.216272830963135,7.467103958129883,7.467103958129883,1047932977,0.0,0.0
2024-12-05,7.467103958129883,8.015482902526855,7.065998077392578,7.644489765167236,7.644489765167236,1235721972,0.0,0.0
2024-12-06,7.635439872741699,8.237302780151367,7.54249382019043,8.028539657592773,8.028539657592773,1107037300,0.0,0.0
2024-12-07,8.028539657592773,8.057047843933105,7.672740936279297,7.7453179359436035,7.7453179359436035,539534008,0.0,0.0
2024-12-08,7.7771711349487305,7.805675029754639,7.479832172393799,7.800045013427734,7.800045013427734,503714185,0.0,0.0
2024-12-09,7.850951194763184,7.850951194763184,6.055906772613525,6.531264781951904,6.531264781951904,1164981350,0.0,0.0
2024-12-10,6.531264781951904,6.822737216949463,5.961929798126221,6.435824871063232,6.435824871063232,1304535337,0.0,0.0
2024-12-11,6.435985088348389,6.9235429763793945,6.168426036834717,6.8547282218933105,6.8547282218933105,589802536,0.0,0.0
2024-12-12,6.85466194152832,7.317530155181885,6.795756816864014,6.912145137786865,6.912145137786865,712760972,0.0,0.0
2024-12-13,6.912092208862305,7.066277980804443,6.762866973876953,6.929051876068115,6.929051876068115,518627323,0.0,0.0
2024-12-14,6.929055213928223,7.0301899909973145,6.501185894012451,6.681772232055664,6.681772232055664,369675555,0.0,0.0
2024-12-15,6.6817708015441895,6.897911071777344,6.479747772216797,6.8587799072265625,6.8587799072265625,332378420,0.0,0.0
2024-12-16,6.8587799072265625,7.031854152679443,6.533364772796631,6.619996070861816,6.619996070861816,499966819,0.0,0.0
2024-12-17,6.619996070861816,7.003232002258301,6.339669227600098,6.375511169433594,6.375511169433594,758434585,0.0,0.0
2024-12-18,6.3755340576171875,6.425525188446045,5.6927971839904785,5.693435192108154,5.693435192108154,1004846850,0.0,0.0
2024-12-19,5.693542003631592,5.8572468757629395,5.021666049957275,5.212406158447266,5.212406158447266,2080836248,0.0,0.0
2024-12-20,5.212409019470215,5.44916296005249,4.546110153198242,5.350356101989746,5.350356101989746,2164400813,0.0,0.0
2024-12-21,5.350356101989746,5.651472091674805,4.93894100189209,5.019481182098389,5.019481182098389,1640808725,0.0,0.0
2024-12-22,5.019481182098389,5.127057075500488,4.854380130767822,5.032057762145996,5.032057762145996,1348675143,0.0,0.0
2024-12-23,5.032057762145996,5.6662678718566895,4.926977157592773,5.428913116455078,5.428913116455078,936054920,0.0,0.0
2024-12-24,5.428913116455078,5.65028190612793,5.28837776184082,5.551753044128418,5.551753044128418,470557216,0.0,0.0
2024-12-25,5.551753044128418,5.634167194366455,5.362771034240723,5.441877841949463,5.441877841949463,305708815,0.0,0.0
2024-12-26,5.441877841949463,5.488235950469971,5.015032768249512,5.082489967346191,5.082489967346191,277860189,0.0,0.0
2024-12-27,5.082466125488281,5.302872180938721,5.039649963378906,5.104263782501221,5.104263782501221,292962925,0.0,0.0
2024-12-28,5.104341983795166,5.347623825073242,5.069921970367432,5.3288960456848145,5.3288960456848145,199982483,0.0,0.0
2024-12-29,5.3288960456848145,5.462893009185791,5.086904048919678,5.126215934753418,5.126215934753418,220547161,0.0,0.0
2024-12-30,5.126208782196045,5.264746189117432,4.9553937911987305,5.036080837249756,5.036080837249756,300480763,0.0,0.0
2024-12-31,5.036098957061768,5.145101070404053,4.878611087799072,4.902723789215088,4.902723789215088,237665272,0.0,0.0
2025-01-01,4.9027299880981445,5.317767143249512,4.8791117668151855,5.276052951812744,5.276052951812744,251935708,0.0,0.0
2025-01-02,5.276047229766846,5.561095237731934,5.275516986846924,5.435338973999023,5.435338973999023,306945479,0.0,0.0
2025-01-03,5.435149192810059,5.810998916625977,5.3932061195373535,5.810998916625977,5.810998916625977,345824089,0.0,0.0
2025-01-04,5.810998916625977,5.9250807762146,5.734645843505859,5.7923431396484375,5.7923431396484375,254470933,0.0,0.0
2025-01-05,5.7923431396484375,5.978079795837402,5.62928581237793,5.903985977172852,5.903985977172852,242992219,0.0,0.0
2025-01-06,5.903985977172852,6.214355945587158,5.787508964538574,6.016962051391602,6.016962051391602,362476201,0.0,0.0
2025-01-07,6.016983985900879,6.022617816925049,5.3550310134887695,5.368399143218994,5.368399143218994,397616708,0.0,0.0
