Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-12-01,1.6123950481414795,1.6267729997634888,1.5847879648208618,1.6118420362472534,1.6118420362472534,80915750,0.0,0.0
2024-12-02,1.60481595993042,1.6423200368881226,1.5559200048446655,1.5846740007400513,1.5846740007400513,89514617,0.0,0.0
2024-12-03,1.5846740007400513,1.624068021774292,1.5091229677200317,1.6058290004730225,1.6058290004730225,48258200,0.0,0.0
2024-12-04,1.6058290004730225,1.7931519746780396,1.605828046798706,1.7928060293197632,1.7928060293197632,79416760,0.0,0.0
2024-12-05,1.7928060293197632,1.9649829864501953,1.733633041381836,1.94166100025177,1.94166100025177,129220777,0.0,0.0
2024-12-06,1.9361790418624878,2.423504114151001,1.9141579866409302,2.370479106903076,2.370479106903076,287540695,0.0,0.0
2024-12-07,2.370479106903076,2.9518558979034424,2.297506093978882,2.7224059104919434,2.7224059104919434,314347410,0.0,0.0
2024-12-08,2.696794033050537,2.849363088607788,2.5540359020233154,2.65869402885437,2.65869402885437,191437347,0.0,0.0
2024-12-09,2.660041093826294,2.7087008953094482,2.404226064682007,2.513179063796997,2.513179063796997,238514902,0.0,0.0
2024-12-10,2.513179063796997,2.852372884750366,2.4084060192108154,2.7619900703430176,2.7619900703430176,317855279,0.0,0.0
2024-12-11,2.7619900703430176,3.2971959114074707,2.7044339179992676,3.168349027633667,3.168349027633667,424299718,0.0,0.0
2024-12-12,3.168349027633667,3.498223066329956,3.0704290866851807,3.148210048675537,3.148210048675537,336349621,0.0,0.0
2024-12-13,3.148210048675537,3.2839889526367188,3.099792957305908,3.215609073638916,3.215609073638916,158549030,0.0,0.0
2024-12-14,3.2399959564208984,3.3366849422454834,2.9482529163360596,3.0846829414367676,3.0846829414367676,191015569,0.0,0.0
2024-12-15,3.0846829414367676,3.1357240676879883,2.8995258808135986,3.09802508354187,3.09802508354187,159613984,0.0,0.0
2024-12-16,3.09802508354187,3.496608018875122,3.0793681144714355,3.4409990310668945,3.4409990310668945,271183651,0.0,0.0
2024-12-17,3.4409990310668945,3.9646100997924805,3.42781400680542,3.8976640701293945,3.8976640701293945,240688095,0.0,0.0
2024-12-18,3.8976640701293945,4.452022075653076,3.8807060718536377,4.153769016265869,4.153769016265869,432314115,0.0,0.0
2024-12-19,4.153769016265869,4.879924774169922,3.8614110946655273,4.526255130767822,4.526255130767822,577396477,0.0,0.0
2024-12-20,4.526255130767822,4.527853965759277,3.551156997680664,4.312036991119385,4.312036991119385,455884676,0.0,0.0
2024-12-21,4.312036991119385,4.697969913482666,4.06396484375,4.140557765960693,4.140557765960693,291818942,0.0,0.0
2024-12-22,4.140557765960693,4.286604881286621,4.0799880027771,4.129817008972168,4.129817008972168,199008724,0.0,0.0
2024-12-23,4.129817008972168,4.337707042694092,3.9504799842834473,4.267679214477539,4.267679214477539,142869052,0.0,0.0
2024-12-24,4.267679214477539,5.031505107879639,4.130737781524658,4.919808864593506,4.919808864593506,332439437,0.0,0.0
2024-12-25,4.919808864593506,5.8858561515808105,4.870532035827637,5.808639049530029,5.808639049530029,685771248,0.0,0.0
2024-12-26,5.808639049530029,7.872253894805908,5.714402198791504,7.292331218719482,7.292331218719482,1468638859,0.0,0.0
2024-12-27,7.292331218719482,8.485087394714355,6.900227069854736,8.103949546813965,8.103949546813965,1243209557,0.0,0.0
2024-12-28,8.103949546813965,8.420360565185547,7.2154130935668945,7.486921787261963,7.486921787261963,1014229882,0.0,0.0
2024-12-29,7.486921787261963,7.8351521492004395,5.999585151672363,6.31531286239624,6.31531286239624,1157556497,0.0,0.0
2024-12-30,6.31531286239624,7.119263172149658,6.015303134918213,6.385927200317383,6.385927200317383,1307229438,0.0,0.0
2024-12-31,6.385927200317383,6.385927200317383,5.539384841918945,5.963045120239258,5.963045120239258,795013204,0.0,0.0
2025-01-01,5.963045120239258,6.235846042633057,5.747568130493164,5.914109230041504,5.914109230041504,510371837,0.0,0.0
2025-01-02,5.914109230041504,6.453261852264404,5.849352836608887,6.312131881713867,6.312131881713867,491339271,0.0,0.0
2025-01-03,6.312131881713867,6.423839092254639,6.063518047332764,6.269153118133545,6.269153118133545,325417176,0.0,0.0
2025-01-04,6.269153118133545,6.315982818603516,5.959146022796631,6.012269973754883,6.012269973754883,227389988,0.0,0.0
2025-01-05,6.012269973754883,6.111327171325684,5.961089134216309,6.009405136108398,6.009405136108398,113832532,0.0,0.0
2025-01-06,6.009405136108398,6.278440952301025,5.969304084777832,6.2016282081604,6.2016282081604,308893890,0.0,0.0
2025-01-07,6.2016282081604,6.646453857421875,6.175644874572754,6.560269832611084,6.560269832611084,644762325,0.0,0.0
2025-01-08,6.560269832611084,6.616697788238525,6.217597007751465,6.324865818023682,6.324865818023682,354703331,0.0,0.0
2025-01-09,6.324865818023682,6.43248987197876,6.21895694732666,6.33906888961792,6.33906888961792,350360822,0.0,0.0
2025-01-10,6.33906888961792,6.856419086456299,6.33906888961792,6.775973796844482,6.775973796844482,569718490,0.0,0.0
2025-01-11,6.775973796844482,7.348320960998535,6.742852210998535,7.1063008308410645,7.1063008308410645,625135759,0.0,0.0
2025-01-12,7.1063008308410645,7.475588798522949,6.997926235198975,7.150829792022705,7.150829792022705,368772679,0.0,0.0
2025-01-13,7.150829792022705,7.17763614654541,6.128209114074707,6.567252159118652,6.567252159118652,876050377,0.0,0.0
