Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-12-01,525.2639770507812,535.982177734375,511.37762451171875,532.6294555664062,532.6294555664062,639650950,0.0,0.0
2024-12-02,532.6294555664062,558.864501953125,496.18682861328125,538.0313110351562,538.0313110351562,1611257901,0.0,0.0
2024-12-03,538.034423828125,587.8036499023438,519.8336791992188,583.9658813476562,583.9658813476562,1796306978,0.0,0.0
2024-12-04,583.902099609375,595.9005126953125,545.916748046875,584.1792602539062,584.1792602539062,1524904836,0.0,0.0
2024-12-05,584.2101440429688,630.7698974609375,554.1620483398438,590.051025390625,590.051025390625,1896615331,0.0,0.0
2024-12-06,589.1842041015625,639.6852416992188,581.8483276367188,619.4531860351562,619.4531860351562,1095984082,0.0,0.0
2024-12-07,619.4531860351562,626.1600341796875,605.4369506835938,608.5131225585938,608.5131225585938,690068241,0.0,0.0
2024-12-08,611.3733520507812,624.5870971679688,604.1690063476562,623.3380126953125,623.3380126953125,687043318,0.0,0.0
2024-12-09,623.3421630859375,623.3421630859375,528.13818359375,553.742919921875,553.742919921875,1239636044,0.0,0.0
2024-12-10,553.7376708984375,563.96923828125,486.8644104003906,516.675048828125,516.675048828125,1030856705,0.0,0.0
2024-12-11,516.6876831054688,550.3167114257812,504.41717529296875,547.3112182617188,547.3112182617188,637935609,0.0,0.0
2024-12-12,547.3128662109375,563.5128784179688,538.213134765625,539.8097534179688,539.8097534179688,561758706,0.0,0.0
2024-12-13,539.8097534179688,543.1663818359375,527.14404296875,542.1737670898438,542.1737670898438,459700503,0.0,0.0
2024-12-14,542.1737670898438,550.5867309570312,520.7566528320312,534.1950073242188,534.1950073242188,428124631,0.0,0.0
2024-12-15,534.1914672851562,549.443603515625,525.3402099609375,546.8533935546875,546.8533935546875,430168201,0.0,0.0
2024-12-16,546.861083984375,555.5768432617188,523.1478271484375,537.910888671875,537.910888671875,548587535,0.0,0.0
2024-12-17,537.910888671875,546.4817504882812,524.9396362304688,529.7596435546875,529.7596435546875,511984306,0.0,0.0
2024-12-18,529.7572631835938,542.9521484375,479.8158874511719,480.6501159667969,480.6501159667969,697284590,0.0,0.0
2024-12-19,480.65826416015625,488.3216552734375,424.05206298828125,440.0602722167969,440.0602722167969,740380640,0.0,0.0
2024-12-20,440.06109619140625,450.4432678222656,391.4194030761719,448.8754577636719,448.8754577636719,725668445,0.0,0.0
2024-12-21,448.8804016113281,471.9540710449219,444.8200988769531,456.0484619140625,456.0484619140625,488020092,0.0,0.0
2024-12-22,456.0484619140625,460.4260559082031,435.7720031738281,445.06976318359375,445.06976318359375,386167743,0.0,0.0
2024-12-23,445.0756530761719,464.9556884765625,432.5489196777344,460.2939758300781,460.2939758300781,431340213,0.0,0.0
2024-12-24,460.2939758300781,477.73681640625,451.2635803222656,470.2679443359375,470.2679443359375,347113797,0.0,0.0
2024-12-25,470.2740478515625,470.67926025390625,456.00067138671875,465.3318786621094,465.3318786621094,304299463,0.0,0.0
2024-12-26,465.2933349609375,467.1692199707031,433.5889892578125,437.1010437011719,437.1010437011719,305992681,0.0,0.0
2024-12-27,437.0999450683594,460.1948547363281,435.3415222167969,440.2722473144531,440.2722473144531,328412674,0.0,0.0
2024-12-28,440.2774353027344,452.17193603515625,438.3994140625,451.0380554199219,451.0380554199219,216070856,0.0,0.0
2024-12-29,451.0356750488281,452.7679138183594,435.2436218261719,438.50543212890625,438.50543212890625,231286471,0.0,0.0
2024-12-30,438.50543212890625,451.9984436035156,428.7264099121094,443.3424377441406,443.3424377441406,338824201,0.0,0.0
2024-12-31,443.34735107421875,453.3890686035156,433.0258483886719,433.8179931640625,433.8179931640625,287771055,0.0,0.0
2025-01-01,433.8179931640625,451.3052062988281,430.111328125,449.35986328125,449.35986328125,292109398,0.0,0.0
2025-01-02,449.375244140625,464.3663330078125,449.3548889160156,461.3688049316406,461.3688049316406,321312293,0.0,0.0
2025-01-03,461.36444091796875,476.60150146484375,455.9979248046875,473.068359375,473.068359375,308314941,0.0,0.0
2025-01-04,473.06549072265625,482.3426513671875,469.29986572265625,478.9778747558594,478.9778747558594,345856160,0.0,0.0
2025-01-05,478.95867919921875,478.9992980957031,463.4584045410156,470.9113464355469,470.9113464355469,256046099,0.0,0.0
2025-01-06,470.9109191894531,485.5890197753906,465.1578063964844,482.6858825683594,482.6858825683594,346240277,0.0,0.0
2025-01-07,482.6858215332031,485.9147033691406,436.3887023925781,437.4750061035156,437.4750061035156,433839864,0.0,0.0
2025-01-08,437.4744567871094,441.3079528808594,420.6199645996094,434.28338623046875,434.28338623046875,373567190,0.0,0.0
2025-01-09,434.28338623046875,436.6822204589844,412.5258483886719,421.61907958984375,421.61907958984375,308922428,0.0,0.0
