Date,Open,High,Low,Close,Volume
2024-12-01,3.4759,3.5339,3.3336,3.4763,48248863.1
2024-12-02,3.4763,3.493,3.1783,3.3894,72501101.3
2024-12-03,3.3896,3.8785,3.3225,3.6951,190168789.2
2024-12-04,3.6955,3.7933,3.5214,3.6737,93733342.4
2024-12-05,3.6734,4.4453,3.5261,4.2274,214178300.3
2024-12-06,4.2269,4.49,4.0752,4.2171,130522393.0
2024-12-07,4.2171,4.4487,4.1542,4.2589,64229595.1
2024-12-08,4.2591,4.3983,4.1214,4.2322,45534245.1
2024-12-09,4.2311,4.27,3.35,3.8379,132662733.3
2024-12-10,3.837,3.8984,3.4631,3.7135,121862641.1
2024-12-11,3.7135,4.406,3.5657,4.3728,100136534.4
2024-12-12,4.3729,4.9136,4.3543,4.6209,146971444.5
2024-12-13,4.6205,4.9269,4.5402,4.7623,79617007.8
2024-12-14,4.7622,4.8455,4.3502,4.4592,50497435.7
2024-12-15,4.4595,4.85,4.3514,4.7834,56881957.6
2024-12-16,4.7842,4.96,4.5987,4.6286,69394598.3
2024-12-17,4.6282,4.868,4.5659,4.6409,56088100.0
2024-12-18,4.6408,4.763,4.19,4.3361,84978873.3
2024-12-19,4.3362,4.5984,3.9339,4.0754,131068350.3
2024-12-20,4.0753,4.6193,3.492,4.5815,197631937.0
2024-12-21,4.5816,4.9099,4.2305,4.3629,122761811.8
2024-12-22,4.363,4.5951,4.164,4.3257,98198185.5
2024-12-23,4.3258,4.7576,4.1089,4.7163,95752445.5
2024-12-24,4.716,4.758,4.4647,4.6059,66727550.6
2024-12-25,4.606,4.6442,4.4531,4.4983,37173241.8
2024-12-26,4.4986,4.5342,4.1483,4.2024,49242072.1
2024-12-27,4.2023,4.4153,4.0542,4.0847,53508066.9
2024-12-28,4.0848,4.2678,3.9782,4.2133,39076586.4
2024-12-29,4.2133,4.28,4.0527,4.0921,26878303.7
2024-12-30,4.0922,4.3748,3.946,4.1811,58145109.7
2024-12-31,4.1812,4.3463,4.0479,4.1225,46337644.7
2025-01-01,4.1226,4.3187,4.046,4.2847,27318153.9
2025-01-02,4.2848,4.4659,4.256,4.3526,33034319.5
2025-01-03,4.3527,4.9888,4.2436,4.9843,60704503.6
2025-01-04,4.9842,5.3598,4.8406,5.2902,97832735.2
2025-01-05,5.2902,5.3256,5.1183,5.2443,46958284.4
2025-01-06,5.2444,5.3687,4.9779,5.09,50481892.3
2025-01-07,5.09,5.1717,4.75,4.7852,61451024.6
2025-01-08,4.7852,4.9159,4.3853,4.8961,94015646.0
2025-01-09,4.896,4.896,4.4954,4.7506,83277878.8
2025-01-10,4.7506,5.2519,4.7338,5.1229,111348040.6
2025-01-11,5.1229,5.1429,4.9039,4.97,39482185.7
2025-01-12,4.9699,4.9823,4.6884,4.7328,35496800.3
2025-01-13,4.7328,4.8606,4.253,4.7487,125931651.2
2025-01-14,4.7488,4.764,4.5411,4.5855,64780920.8
2025-01-15,4.5855,4.8919,4.4326,4.8359,91476529.6
2025-01-16,4.836,5.0574,4.5802,4.749,81163872.3
2025-01-17,4.749,4.9687,4.7121,4.8382,71402361.1
2025-01-18,4.8381,5.1396,4.6107,5.004,87501287.3
2025-01-19,5.004,5.0275,4.3903,4.5071,134825955.2
2025-01-20,4.5067,4.847,4.29,4.4181,147342800.5
2025-01-21,4.4181,4.7989,4.2167,4.6581,76128629.9
2025-01-22,4.658,4.7055,4.452,4.4711,35303085.6
2025-01-23,4.471,4.4778,4.156,4.3023,56848852.3
2025-01-24,4.3023,4.4841,4.1612,4.2016,50007617.8
2025-01-25,4.2017,4.2598,4.0985,4.13,33973139.0
2025-01-26,4.13,4.2226,3.8618,3.87,34787808.1
2025-01-27,3.8701,4.0167,3.4952,3.9636,140489186.3
2025-01-28,3.9637,4.0138,3.6087,3.6528,52312596.3
2025-01-29,3.6535,3.8927,3.6011,3.6984,60464171.7
2025-01-30,3.6985,4.2148,3.6661,4.118,73929975.6
2025-01-31,4.1181,4.2526,4.0105,4.0891,62078630.9
2025-02-01,4.0883,4.1195,3.721,3.7347,39607209.4
2025-02-02,3.7347,3.8588,3.0758,3.3072,107395689.2
2025-02-03,3.3073,3.8325,2.39,3.6504,321356313.1
