Bot,Avg Annual Return (%),Std Annual Return (%),Avg Annual Volatility (%),Std Annual Volatility (%),Avg Sharpe Ratio,Std Sharpe Ratio,Avg Sortino Ratio,Std Sortino Ratio,Avg Maximum Drawdown (%),Std Maximum Drawdown (%),Avg Win Rate (%),Std Win Rate (%),Avg Average Trade Duration (days),Std Average Trade Duration (days)
Mean-Reversion,55797.80606335949,,1310.5248799077228,,40.94282144304088,,304.5779418642375,,-18.8430395582911,,19.298245614035086,,40.0,
Martingale Grid,5.324078861464683,7.794518434906725,5.996415307267988,9.677023627828307,-4.587407539641189,5.37581576529664,-5190.229935396583,11423.874208830848,-4.537724350919106,7.305592498291387,86.0886752136752,10.291705678456328,3.8108537887122274,0.75916419971883
ADX Trend-Following,2.136322375243804,7.931835262114052,0.0,0.0,0.49263473026081483,0.19540632326085858,0.04827690364123953,0.18758853726035246,-18.038272023978678,10.35524491928262,26.998190045248872,6.43062652905233,6.128932126696832,2.6389339168694734
