Bot,Avg Annual Return (%),Avg Annual Volatility (%),Sharpe Ratio,Sortino Ratio
Mean-Reversion,55797.80606335949,1310.5248799077228,40.94282144304088,304.5779418642375
Martingale Grid,5.324078861464683,5.996415307267988,-4.587407539641189,-5190.229935396583
ADX Trend-Following,2.136322375243804,0.0,0.49263473026081483,0.04827690364123953
