Cryptocurrency,Avg Annual Return (%),Avg Annual Volatility (%),Avg Sharpe Ratio,Avg Sortino Ratio,Avg Maximum Drawdown (%),Avg Win Rate (%),Avg Average Trade Duration (days)
Portfolio,55797.80606335949,1310.5248799077228,40.94282144304088,304.5779418642375,-18.8430395582911,19.298245614035086,40.0
BTC,8.742401952090106,11.260142657806536,0.7584506904365078,2.094781882607652,-20.262269061339616,57.638888888888886,5.284770114942528
ETH,2.9160693859296978,3.423544295993232,0.6075956991388102,1.9729964415336192,-18.964427308442797,57.07720588235294,3.1986952675807165
SOL,8.357523510897291,0.280852718501042,-2.0094148448153493,-13.254302494397843,-3.6123405367585217,66.10576923076923,6.668522267206478
LINK,-0.6733115510708265,0.026180017779974425,-4.861955988008843,-153.98899507191297,-7.35310197518093,55.854166666666664,5.347702702702703
DOGE,-0.6916802060750515,0.00031857808918546964,-4.731607580202063,-12812.278626990184,-6.247852055522599,46.04113247863248,4.349774436090225
