Bot,Cryptocurrency,Total Return (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Maximum Drawdown (%),Calmar Ratio,Return to Risk Ratio,Number of Trades,Win Rate (%),Average Win (%),Average Loss (%),Profit Factor,Average Trade Duration (days),Final Equity
Mean-Reversion,Portfolio,31517308.711265504,55797.80606335949,1310.5248799077228,40.94282144304088,304.5779418642375,-18.8430395582911,2961.1892439512485,42.576685814075,57,19.298245614035086,21.49811913990875,-4.229233332965468,27.95770437820474,40.0,31517408711.265507
Martingale Grid,BTC,38.61363985533398,17.721147464941488,22.520285315613073,0.7165941136938815,4.200061744411064,-17.09587990846477,1.0365741663970818,0.7868971114968781,87,90.27777777777777,0.6664684711152739,-11.042219746670455,1.8653378593925312,4.919540229885057,138613.63985533398
Martingale Grid,ETH,17.509429493961434,8.395784835987307,6.847088591986464,0.783844969306367,4.0156462702237805,-4.869085081607722,1.7243044011905222,1.2261831759871444,133,90.625,0.18519283095427935,-3.8744521889686694,2.4337134642311704,4.015037593984962,117509.42949396143
Martingale Grid,SOL,0.9355914859187761,0.46638669932970167,0.561705437002084,-4.437476781206196,-26.890234470876702,-0.6800769332906118,0.685785205319417,0.8303047622591756,152,93.75,0.006272362584932338,-0.3231217997216298,1.9641173761308857,3.6447368421052633,100935.59148591878
Martingale Grid,LINK,0.0738767877961509,0.0369063085366772,0.05236003555994885,-10.0,-307.94679212022896,-0.04282341702846468,0.8618254006247474,0.7048564452257078,148,87.70833333333333,0.0007966327574554765,-0.019068206748045442,1.7748823241668996,3.6554054054054053,100073.87678779615
Martingale Grid,DOGE,0.00033822868905554064,0.00016899852823826222,0.0006371561783709393,-10.0,-25624.528358406442,-0.0007564142039637921,0.2234206171072269,0.2652387812833461,133,68.08226495726495,4.2061649745304e-06,-7.473368534863395e-05,1.3330123410288668,2.819548872180451,100000.33822868906
ADX Trend-Following,BTC,-0.4734189749006764,-0.23634356076127627,0.0,0.800307267179134,-0.010497979195760334,-23.428658214214458,-0.010087797542664381,0.0,20,25.0,0.0,0.0,0.0,5.65,99526.58102509932
ADX Trend-Following,ETH,-5.075078641159212,-2.5636460641279113,0.0,0.43134642897125336,-0.06965338715654204,-33.05976953527787,-0.07754579357827225,0.0,34,23.52941176470588,0.0,0.0,0.0,2.3823529411764706,94924.92135884079
ADX Trend-Following,SOL,35.249043851397,16.24866032246488,0.0,0.41864709157549757,0.3816294820810163,-6.544604140226432,2.4827567831937203,0.0,26,38.46153846153847,0.0,0.0,0.0,9.692307692307692,135249.043851397
ADX Trend-Following,LINK,-2.7553411424499643,-1.3835294106783302,0.0,0.27608802398231413,-0.03119802359694714,-14.663380533333395,-0.09435269087733451,0.0,25,24.0,0.0,0.0,0.0,7.04,97244.65885755004
ADX Trend-Following,DOGE,-2.7553411424499936,-1.3835294106783413,0.0,0.5367848395958749,-0.02889557392556919,-12.494947696841233,-0.11072710700726682,0.0,25,24.0,0.0,0.0,0.0,5.88,97244.65885755
